ID,open_month,end_month,window,STATUS
5001870,-34,0,34,No Loan
5001871,-13,0,13,No Loan
5001872,0,0,0,Paid
5001873,-33,0,33,Paid
5001874,-29,0,29,Paid
5001875,-15,0,15,No Loan
5001876,-19,0,19,Paid
5001877,-15,0,15,Paid
5001879,-6,0,6,No Loan
5001882,-4,0,4,Paid
5001883,-51,0,51,Paid
5001886,-7,0,7,Paid
5001887,-1,0,1,Paid
5001888,-54,0,54,No Loan
5001889,-40,0,40,Paid
5001890,-24,0,24,Paid
5001891,-51,0,51,No Loan
5001892,-54,0,54,No Loan
5001893,-14,0,14,No Loan
5001894,-50,0,50,Paid
5001895,-33,0,33,No Loan
5001896,-15,0,15,Paid
5001897,-3,0,3,No Loan
5001898,-26,0,26,No Loan
5001899,-41,0,41,No Loan
5001900,-55,0,55,Paid
5001901,-42,0,42,No Loan
5001902,-3,0,3,Paid
5001904,-50,0,50,No Loan
5001905,-55,0,55,No Loan
5001906,-50,0,50,Paid
5001907,-4,0,4,No Loan
5001908,0,0,0,Paid
5001909,0,0,0,Paid
5001910,-2,0,2,Paid
5001911,-4,0,4,Paid
5001912,-5,0,5,Closed
5001913,-10,0,10,No Loan
5001914,-11,0,11,Paid
5001915,-10,0,10,No Loan
5001916,-10,0,10,Paid
5001917,-10,0,10,Paid
5001918,-14,0,14,Paid
5001919,-19,0,19,Paid
5001920,-15,0,15,Paid
5001921,-19,0,19,Paid
5001922,-35,0,35,No Loan
5001923,-47,0,47,Paid
5001924,-2,0,2,No Loan
5001925,-2,0,2,No Loan
5001926,-7,0,7,No Loan
5001927,-46,0,46,Paid
5001931,-11,0,11,No Loan
5001932,-30,0,30,Paid
5001933,-28,0,28,Paid
5001936,-40,0,40,Paid
5001940,-30,0,30,Paid
5001941,-59,0,59,Paid
5001942,-54,0,54,Paid
5001943,-56,0,56,No Loan
5001944,-23,0,23,Paid
5001945,-10,0,10,Paid
5001946,-23,0,23,Paid
5001947,-37,0,37,Paid
5001948,-58,0,58,Paid
5001949,-21,0,21,No Loan
5001950,-10,0,10,No Loan
5001951,-21,0,21,Paid
5001952,-16,0,16,Paid
5001953,-16,0,16,Paid
5001954,-35,0,35,Paid
5001956,-14,0,14,No Loan
5001957,-16,0,16,Paid
5001958,-54,0,54,Paid
5001959,-37,0,37,No Loan
5001960,-30,0,30,No Loan
5001961,-11,0,11,No Loan
5001962,-11,0,11,No Loan
5001963,-11,0,11,No Loan
5001964,-15,0,15,Paid
5001965,-37,0,37,Paid
5001966,-47,0,47,Paid
5001967,-33,0,33,No Loan
5001968,-21,0,21,Paid
5001970,-33,0,33,Paid
5001976,-38,0,38,No Loan
5001982,-57,0,57,No Loan
5001983,-50,0,50,Paid
5001986,-52,0,52,Paid
5001987,-51,0,51,Paid
5001988,-52,0,52,Paid
5001989,-51,0,51,No Loan
5001990,-51,0,51,No Loan
5001991,-39,0,39,Paid
5001993,-27,0,27,No Loan
5001994,-27,0,27,No Loan
5001995,-33,0,33,No Loan
5001996,-34,-1,33,No Loan
5001997,-54,0,54,No Loan
5001998,-20,0,20,No Loan
5001999,-24,0,24,Paid
5002000,-29,0,29,No Loan
5002001,-56,0,56,Paid
5002002,-21,0,21,No Loan
5002003,-49,0,49,No Loan
5002004,-36,0,36,Paid
5002005,-32,0,32,Paid
5002006,-25,0,25,Paid
5002007,-22,0,22,No Loan
5002008,-34,0,34,No Loan
5002009,-50,0,50,No Loan
5002010,-13,0,13,Paid
5002011,-24,0,24,Paid
5002012,-24,0,24,Paid
5002013,-31,0,31,Paid
5002015,-34,0,34,No Loan
5002016,-12,0,12,Paid
5002018,-7,0,7,No Loan
5002019,-53,0,53,Paid
5002020,-37,0,37,No Loan
5002021,-14,0,14,No Loan
5002022,-22,0,22,No Loan
5002023,-21,0,21,No Loan
5002024,-11,0,11,Paid
5002025,-11,0,11,Paid
5002026,-53,0,53,No Loan
5002028,-49,0,49,No Loan
5002029,-9,0,9,Paid
5002030,-9,0,9,No Loan
5002031,-40,0,40,Paid
5002032,-39,0,39,No Loan
5002033,-50,0,50,No Loan
5002034,-57,0,57,No Loan
5002035,-50,0,50,No Loan
5002037,-13,0,13,No Loan
5002038,-13,0,13,Paid
5002039,-8,0,8,Paid
5002041,-22,-1,21,Paid
5002042,-49,0,49,Paid
5002043,-22,0,22,Paid
5002044,-22,0,22,Paid
5002046,-36,0,36,No Loan
5002047,-48,0,48,Paid
5002048,-23,0,23,Paid
5002049,-25,0,25,Paid
5002050,-29,0,29,Paid
5002052,-15,0,15,No Loan
5002053,-27,-1,26,No Loan
5002054,-30,0,30,No Loan
5002055,-44,0,44,No Loan
5002057,-26,0,26,Paid
5002058,-59,0,59,Paid
5002059,-44,0,44,Paid
5002060,-54,0,54,Paid
5002061,-20,0,20,Paid
5002062,-10,0,10,No Loan
5002068,-39,0,39,No Loan
5002069,-27,0,27,Paid
5002070,-11,0,11,Paid
5002071,-8,0,8,Paid
5002072,-16,0,16,Paid
5002073,-33,0,33,Paid
5002076,-10,0,10,No Loan
5002077,-7,0,7,No Loan
5002078,-24,0,24,No Loan
5002079,-15,0,15,No Loan
5002080,-9,0,9,Paid
5002081,-10,0,10,No Loan
5002082,-10,0,10,Paid
5002083,-19,0,19,Paid
5002084,-13,0,13,Paid
5002085,-34,0,34,Paid
5002087,-19,0,19,Paid
5002088,-35,0,35,Paid
5002091,-48,0,48,Paid
5002094,-32,0,32,Paid
5002096,-41,0,41,No Loan
5002097,-51,0,51,Paid
5002098,-42,0,42,No Loan
5002101,-43,0,43,No Loan
5002104,-40,0,40,No Loan
5002105,-35,0,35,No Loan
5002106,-11,0,11,No Loan
5002107,-30,0,30,Paid
5002108,-55,0,55,No Loan
5002109,-12,0,12,Paid
5002110,-5,0,5,No Loan
5002111,-7,0,7,No Loan
5002112,-18,0,18,No Loan
5002113,-16,0,16,No Loan
5002114,-16,0,16,No Loan
5002115,-22,0,22,Paid
5002116,-40,0,40,No Loan
5002118,-7,0,7,No Loan
5002120,-26,0,26,No Loan
5002121,-17,0,17,Paid
5002123,-20,0,20,No Loan
5002124,-3,0,3,Paid
5002126,-55,0,55,Paid
5002128,-33,0,33,Paid
5002130,-34,0,34,No Loan
5002131,-48,0,48,Paid
5002134,-43,0,43,Paid
5002135,-9,0,9,No Loan
5002138,-43,0,43,Paid
5002140,-56,0,56,No Loan
5002141,-22,0,22,Paid
5002142,-35,0,35,Paid
5002144,-16,0,16,No Loan
5002145,-22,0,22,Paid
5002146,-22,0,22,Paid
5002147,-49,0,49,No Loan
5002148,-8,0,8,No Loan
5002149,-25,0,25,Paid
5002150,-35,0,35,Paid
5002151,-24,0,24,No Loan
5002152,-21,0,21,No Loan
5002153,-24,0,24,No Loan
5002154,-14,0,14,Paid
5002155,-50,0,50,No Loan
5002156,-56,0,56,Paid
5002157,-8,0,8,Paid
5002158,-54,0,54,Paid
5002160,-60,0,60,No Loan
5002161,-12,0,12,Paid
5002162,-17,0,17,Paid
5002163,-20,0,20,Paid
5002164,-59,0,59,Paid
5002165,-60,0,60,Paid
5002168,-21,0,21,No Loan
5002169,-2,0,2,Paid
5002170,-21,-1,20,No Loan
5002171,-60,0,60,Paid
5002175,-48,0,48,No Loan
5002176,-40,0,40,No Loan
5002177,-40,0,40,No Loan
5002178,-40,0,40,No Loan
5002179,-40,0,40,No Loan
5002181,-44,0,44,No Loan
5002182,-36,0,36,Paid
5002183,-39,0,39,No Loan
5002186,-18,0,18,Paid
5002189,-6,0,6,Paid
5002190,-6,0,6,Paid
5002191,-24,0,24,Paid
5002192,-36,0,36,Paid
5002194,-25,0,25,No Loan
5002196,-14,0,14,Paid
5002197,-3,0,3,Paid
5002198,-19,-1,18,No Loan
5002199,-30,0,30,No Loan
5002200,-42,0,42,No Loan
5002201,-54,0,54,Paid
5002202,-59,0,59,No Loan
5002203,-45,-1,44,Paid
5002204,-6,0,6,No Loan
5002205,-6,0,6,Paid
5002206,-30,0,30,Paid
5002207,-14,0,14,No Loan
5002208,-39,0,39,Paid
5002209,-9,0,9,Paid
5002216,-11,0,11,Paid
5002217,-27,0,27,Paid
5002218,-23,0,23,Paid
5002219,-35,0,35,Paid
5002220,-31,0,31,Paid
5002221,-36,0,36,No Loan
5002222,-12,0,12,Paid
5002223,-42,0,42,No Loan
5002224,-39,0,39,No Loan
5002225,-10,0,10,No Loan
5002226,-8,0,8,No Loan
5002227,-9,0,9,Paid
5002228,-46,0,46,No Loan
5002229,-20,0,20,No Loan
5002230,-22,0,22,Paid
5002231,-35,0,35,Paid
5002232,-12,0,12,Paid
5002233,-29,0,29,No Loan
5002234,-23,0,23,Paid
5002235,-21,-1,20,No Loan
5002236,-19,0,19,No Loan
5002237,-10,0,10,No Loan
5002238,-48,0,48,No Loan
5002239,-55,0,55,No Loan
5002241,-3,0,3,Paid
5002242,-5,0,5,Paid
5002243,-30,0,30,Paid
5002244,-20,0,20,Paid
5002245,-9,0,9,Paid
5002246,-44,0,44,Paid
5002247,-31,0,31,Paid
5002248,-18,0,18,Paid
5002249,-7,0,7,Paid
5002250,-16,0,16,Paid
5002251,-23,0,23,No Loan
5002253,-11,0,11,Paid
5002254,-23,0,23,Paid
5002255,-37,0,37,No Loan
5002256,-21,0,21,Paid
5002257,-49,0,49,Paid
5002258,-59,0,59,Paid
5002259,-59,0,59,No Loan
5002260,-17,0,17,Paid
5002262,-12,0,12,Paid
5002263,-3,0,3,Paid
5002264,-31,0,31,Paid
5002265,-11,0,11,No Loan
5002266,-12,0,12,Paid
5002267,-27,0,27,Paid
5002268,-1,0,1,Paid
5002270,-8,0,8,No Loan
5002271,-8,0,8,Paid
5002273,-11,-1,10,No Loan
5002274,-15,-1,14,Paid
5002275,-7,-1,6,Paid
5002276,-12,-1,11,Paid
5002277,-15,-1,14,Paid
5002278,-35,-1,34,No Loan
5002279,-35,-1,34,Paid
5002280,-48,-1,47,Paid
5002283,-60,0,60,No Loan
5002285,-1,0,1,No Loan
5002286,-21,0,21,Paid
5002287,-60,0,60,Paid
5002289,-11,0,11,Paid
5002291,-21,0,21,No Loan
5002292,-45,0,45,No Loan
5002293,-7,0,7,Paid
5002294,-4,0,4,No Loan
5002296,-38,0,38,No Loan
5002297,-47,0,47,No Loan
5002298,-32,0,32,Paid
5002299,-39,0,39,Paid
5002300,-23,0,23,Paid
5002301,-18,0,18,Paid
5002302,-28,0,28,Paid
5002303,-21,0,21,No Loan
5002304,-54,0,54,No Loan
5002305,-51,0,51,No Loan
5002306,-16,0,16,No Loan
5002309,-55,0,55,Paid
5002310,-31,0,31,Paid
5002311,-32,0,32,No Loan
5002312,-2,0,2,Paid
5002313,-28,0,28,No Loan
5002314,-48,0,48,Paid
5002315,-24,0,24,Paid
5002316,-35,0,35,Paid
5002317,-37,0,37,Paid
5002318,-23,-1,22,No Loan
5002319,-39,0,39,No Loan
5002320,-24,0,24,Paid
5002321,-43,0,43,No Loan
5002322,-1,0,1,Paid
5002323,-32,0,32,Paid
5002324,-12,-1,11,Paid
5002325,-23,-1,22,Paid
5002326,-29,0,29,Paid
5002330,-30,0,30,Paid
5002331,-9,0,9,Paid
5002332,-13,0,13,Paid
5002333,-17,0,17,Paid
5002335,-54,0,54,No Loan
5002336,-29,0,29,No Loan
5002337,-21,0,21,No Loan
5002338,-49,0,49,No Loan
5002339,-25,0,25,No Loan
5002340,-47,0,47,No Loan
5002341,-35,0,35,No Loan
5002342,-7,0,7,Paid
5002343,-7,0,7,Paid
5002344,-16,0,16,No Loan
5002345,-23,0,23,Paid
5002346,-25,0,25,No Loan
5002347,-42,0,42,Paid
5002348,-11,0,11,Closed
5002349,-36,0,36,No Loan
5002350,-11,0,11,No Loan
5002351,-31,0,31,Paid
5002352,-19,0,19,Paid
5002353,-35,0,35,Paid
5002354,-36,0,36,Paid
5002355,-10,0,10,Paid
5002356,-50,0,50,No Loan
5002360,-14,0,14,No Loan
5002363,-6,-1,5,No Loan
5002364,-8,-1,7,No Loan
5002365,-4,0,4,No Loan
5002368,-11,0,11,No Loan
5002369,-23,0,23,Paid
5002370,-23,0,23,No Loan
5002373,-45,0,45,No Loan
5002374,-38,0,38,Paid
5002375,-28,0,28,Paid
5002376,-46,0,46,No Loan
5002377,-20,0,20,No Loan
5002378,-20,0,20,No Loan
5002380,-56,0,56,No Loan
5002381,-28,0,28,Paid
5002383,-33,0,33,No Loan
5002384,-52,0,52,Paid
5002385,-58,0,58,Paid
5002386,-9,0,9,No Loan
5002387,-9,0,9,No Loan
5002388,-9,0,9,No Loan
5002390,-20,0,20,No Loan
5002391,-20,0,20,Paid
5002392,-41,0,41,Paid
5002394,-24,0,24,No Loan
5002395,-52,0,52,Paid
5002396,-1,0,1,Paid
5002397,-7,0,7,No Loan
5002398,-51,0,51,Paid
5002399,-13,0,13,No Loan
5002402,-7,0,7,No Loan
5002403,-16,0,16,Paid
5002404,-18,0,18,Paid
5002405,-18,0,18,Paid
5002408,-8,0,8,No Loan
5002409,-12,0,12,No Loan
5002410,-12,0,12,No Loan
5002411,-22,0,22,No Loan
5002412,-30,0,30,Paid
5002413,-44,0,44,Paid
5002418,-51,0,51,Paid
5002420,-26,0,26,No Loan
5002421,-9,0,9,Paid
5002422,-7,0,7,No Loan
5002424,-13,0,13,Paid
5002425,-21,0,21,No Loan
5002426,-24,0,24,Paid
5002427,-26,0,26,No Loan
5002428,-37,0,37,Paid
5002429,-23,0,23,No Loan
5002430,-17,0,17,No Loan
5002431,-17,0,17,Paid
5002432,-41,0,41,Paid
5002433,-37,0,37,Paid
5002434,-24,0,24,No Loan
5002435,-21,0,21,Paid
5002436,-28,0,28,No Loan
5002437,-3,0,3,Paid
5002438,-10,0,10,No Loan
5002439,-13,0,13,Paid
5002441,-32,0,32,No Loan
5002443,-10,0,10,Paid
5002444,-9,0,9,No Loan
5002445,-8,0,8,Paid
5002446,-19,0,19,Paid
5002447,-19,0,19,No Loan
5002448,-35,0,35,Paid
5002449,-37,0,37,Paid
5002450,-54,0,54,No Loan
5002453,-37,0,37,Paid
5002454,-37,0,37,Paid
5002455,-35,0,35,No Loan
5002456,-59,0,59,No Loan
5002457,-23,0,23,No Loan
5002458,-22,0,22,No Loan
5002459,-22,0,22,Paid
5002460,-12,0,12,Paid
5002462,-37,0,37,Paid
5002465,-60,0,60,No Loan
5002467,-34,0,34,No Loan
5002469,-28,0,28,No Loan
5002471,-11,-1,10,No Loan
5002472,-30,0,30,No Loan
5002474,-52,0,52,Paid
5002475,-11,0,11,No Loan
5002476,-3,0,3,Paid
5002477,-10,0,10,No Loan
5002479,-20,0,20,Paid
5002480,-1,0,1,No Loan
5002481,-7,0,7,Paid
5002482,-56,0,56,Paid
5002483,-56,0,56,Paid
5002484,-41,0,41,Paid
5002485,-52,0,52,Paid
5002486,-16,0,16,No Loan
5002487,-30,0,30,Paid
5002488,-54,0,54,No Loan
5002489,-42,0,42,No Loan
5002490,-47,0,47,No Loan
5002491,-38,0,38,No Loan
5002492,-39,0,39,Paid
5002495,-21,0,21,No Loan
5002496,-18,0,18,No Loan
5002497,-21,0,21,No Loan
5002501,-45,0,45,Paid
5002502,-58,0,58,Paid
5002505,-9,0,9,No Loan
5002507,-42,0,42,No Loan
5002508,-16,0,16,No Loan
5002509,-13,0,13,Paid
5002510,-37,0,37,No Loan
5002511,-23,0,23,Paid
5002512,-15,0,15,No Loan
5002514,-48,0,48,Paid
5002515,-59,0,59,No Loan
5002518,-25,0,25,Paid
5002519,-32,0,32,Paid
5002520,-35,0,35,No Loan
5002521,-18,0,18,Paid
5002523,-60,0,60,No Loan
5002524,-32,0,32,No Loan
5002525,-20,0,20,Paid
5002526,-26,0,26,Closed
5002527,-28,0,28,No Loan
5002528,-23,0,23,Paid
5002529,-27,-1,26,No Loan
5002533,-22,0,22,No Loan
5002534,-8,0,8,No Loan
5002537,-9,0,9,Paid
5002538,-26,0,26,No Loan
5002539,-22,0,22,Paid
5002540,-32,0,32,Paid
5002541,-42,0,42,Paid
5002543,-40,0,40,Paid
5002544,-30,0,30,No Loan
5002545,-17,0,17,No Loan
5002547,-14,0,14,No Loan
5002548,-14,0,14,No Loan
5002549,-29,0,29,No Loan
5002550,-41,0,41,Paid
5002551,-20,0,20,No Loan
5002554,-47,0,47,Paid
5002555,-40,0,40,No Loan
5002556,-36,0,36,Paid
5002557,-20,0,20,Paid
5002558,-35,0,35,No Loan
5002559,-13,0,13,No Loan
5002560,-47,0,47,No Loan
5002562,-30,0,30,No Loan
5002563,-26,0,26,No Loan
5002564,-30,0,30,Paid
5002565,-43,0,43,Paid
5002566,-54,0,54,Paid
5002567,-55,0,55,Paid
5002568,-12,0,12,Paid
5002570,-48,0,48,Paid
5002571,-34,0,34,Paid
5002572,-39,0,39,Paid
5002573,-11,0,11,Paid
5002574,-11,0,11,Paid
5002575,-20,0,20,Paid
5002576,-1,0,1,Paid
5002578,-53,0,53,No Loan
5002579,-38,0,38,No Loan
5002581,-23,0,23,Paid
5002582,-20,0,20,No Loan
5002583,-38,0,38,No Loan
5002584,-38,0,38,No Loan
5002585,-51,0,51,Paid
5002586,-26,0,26,Paid
5002587,-28,0,28,No Loan
5002588,-44,0,44,No Loan
5002589,-9,0,9,No Loan
5002590,-11,0,11,Paid
5002591,-18,0,18,Paid
5002592,-22,0,22,Paid
5002593,-23,0,23,Paid
5002594,-27,0,27,No Loan
5002595,-29,0,29,Paid
5002597,-36,0,36,Paid
5002598,-36,0,36,Paid
5002599,-56,0,56,Paid
5002601,-59,0,59,No Loan
5002602,-56,0,56,Paid
5002603,-8,0,8,No Loan
5002604,-24,0,24,Paid
5002605,-36,0,36,No Loan
5002606,-34,0,34,Paid
5002607,-48,0,48,No Loan
5002608,-3,0,3,Paid
5002609,-59,0,59,Paid
5002611,-32,0,32,Paid
5002612,-10,0,10,No Loan
5002615,-49,0,49,No Loan
5002616,-12,0,12,No Loan
5002617,-8,0,8,Paid
5002618,-7,0,7,No Loan
5002619,-36,-1,35,Paid
5002620,-6,0,6,No Loan
5002621,-11,0,11,Paid
5002622,-32,0,32,Paid
5002623,-6,0,6,Paid
5002624,-19,0,19,Paid
5002626,-30,0,30,Paid
5002628,-7,0,7,No Loan
5002629,-10,0,10,Paid
5002630,-23,0,23,No Loan
5002631,-23,0,23,No Loan
5002633,-11,0,11,No Loan
5002636,-34,0,34,No Loan
5002637,-42,0,42,No Loan
5002638,-49,0,49,Paid
5002639,-42,0,42,No Loan
5002642,-34,0,34,Paid
5002644,-58,0,58,Paid
5002645,-11,0,11,No Loan
5002646,-22,0,22,Paid
5002647,-12,0,12,Paid
5002649,-16,0,16,Paid
5002650,-34,0,34,Paid
5002651,-2,0,2,No Loan
5002652,-6,0,6,No Loan
5002653,-11,0,11,No Loan
5002654,-33,0,33,Paid
5002655,-56,0,56,No Loan
5002660,-32,0,32,No Loan
5002661,-47,0,47,Paid
5002662,-20,0,20,No Loan
5002665,-33,0,33,Paid
5002666,-28,0,28,No Loan
5002667,-27,0,27,Paid
5002668,-46,0,46,Paid
5002669,-37,0,37,Paid
5002670,-12,0,12,No Loan
5002671,-12,0,12,No Loan
5002672,-31,0,31,No Loan
5002673,-42,0,42,No Loan
5002674,-33,0,33,No Loan
5002675,-48,0,48,No Loan
5002677,-14,0,14,Paid
5002679,-25,0,25,No Loan
5002680,-19,0,19,No Loan
5002683,-21,0,21,No Loan
5002684,-21,0,21,No Loan
5002685,-21,0,21,No Loan
5002686,-7,0,7,Paid
5002687,-10,0,10,No Loan
5002688,-36,0,36,No Loan
5002689,0,0,0,Paid
5002690,-10,0,10,No Loan
5002691,-13,0,13,Paid
5002694,-21,0,21,No Loan
5002695,-18,0,18,Paid
5002696,-9,0,9,Paid
5002697,-18,0,18,Paid
5002698,-58,0,58,Paid
5002699,-22,0,22,No Loan
5002700,-9,0,9,Paid
5002701,-43,0,43,Paid
5002702,-9,0,9,No Loan
5002703,-43,0,43,Paid
5002704,-39,0,39,No Loan
5002705,-18,0,18,No Loan
5002706,-38,0,38,No Loan
5002708,-9,0,9,Paid
5002709,-42,0,42,Paid
5002710,-38,0,38,No Loan
5002711,-9,0,9,Paid
5002713,0,0,0,Paid
5002715,-11,0,11,Paid
5002716,-11,0,11,No Loan
5002717,-57,0,57,Paid
5002718,-20,0,20,Paid
5002719,-24,0,24,Paid
5002720,-24,0,24,Paid
5002722,-18,0,18,Paid
5002723,-7,0,7,Paid
5002725,-1,0,1,No Loan
5002727,-50,0,50,Paid
5002728,-9,0,9,No Loan
5002729,-19,0,19,Paid
5002730,-6,0,6,Paid
5002731,-26,0,26,Paid
5002732,-5,0,5,Paid
5002733,-45,0,45,Paid
5002734,-46,0,46,Paid
5002735,-50,0,50,Paid
5002736,-22,0,22,No Loan
5002737,-28,0,28,Paid
5002738,-23,0,23,Paid
5002739,-22,0,22,Paid
5002740,-28,0,28,Paid
5002741,-10,0,10,Paid
5002742,-6,0,6,Paid
5002743,-49,0,49,Paid
5002744,-49,0,49,Paid
5002745,-39,0,39,No Loan
5002747,-28,0,28,No Loan
5002749,-38,0,38,Paid
5002750,-49,0,49,Paid
5002752,-55,0,55,No Loan
5002753,-55,0,55,Paid
5002754,-42,0,42,No Loan
5002755,-29,0,29,No Loan
5002756,-15,0,15,Paid
5002757,-31,0,31,No Loan
5002758,-19,0,19,Paid
5002759,-26,0,26,No Loan
5002760,-35,0,35,Paid
5002762,-35,0,35,No Loan
5002763,-6,0,6,Paid
5002765,-2,0,2,Paid
5002766,-32,0,32,Paid
5002767,-30,0,30,No Loan
5002768,-6,0,6,No Loan
5002769,-14,0,14,No Loan
5002770,-53,0,53,Paid
5002776,-13,0,13,No Loan
5002779,-52,0,52,No Loan
5002780,-52,0,52,Paid
5002781,-35,0,35,Paid
5002782,-39,0,39,No Loan
5002783,-60,0,60,No Loan
5002784,-40,0,40,No Loan
5002787,-13,0,13,No Loan
5002788,-13,0,13,Paid
5002789,-11,0,11,Paid
5002790,-19,0,19,Paid
5002791,-23,0,23,Paid
5002792,-24,0,24,Paid
5002793,-51,0,51,Paid
5002795,-57,0,57,Paid
5002796,-49,0,49,Paid
5002798,-39,0,39,No Loan
5002799,-59,0,59,Paid
5002800,-36,0,36,No Loan
5002804,-20,0,20,Paid
5002805,-60,0,60,No Loan
5002806,-60,0,60,No Loan
5002807,-43,0,43,Paid
5002808,-6,0,6,Paid
5002809,-36,0,36,Paid
5002810,-36,0,36,Paid
5002811,-43,0,43,Paid
5002812,-52,0,52,No Loan
5002813,-60,0,60,Paid
5002814,-26,0,26,Paid
5002815,-9,0,9,No Loan
5002817,-44,0,44,Paid
5002818,-8,0,8,No Loan
5002819,-1,0,1,No Loan
5002820,-8,0,8,No Loan
5002821,-44,0,44,Closed
5002822,-57,0,57,No Loan
5002825,-24,0,24,No Loan
5002827,-10,0,10,Paid
5002828,-40,0,40,Paid
5002829,-10,0,10,Paid
5002830,-13,0,13,Paid
5002831,-46,0,46,No Loan
5002832,-2,0,2,Paid
5002833,-17,0,17,Paid
5002837,-19,0,19,No Loan
5002840,-58,0,58,Paid
5002841,-13,0,13,No Loan
5002843,-58,0,58,Paid
5002844,-55,0,55,No Loan
5002845,-11,0,11,Paid
5002846,-22,0,22,Paid
5002847,-23,0,23,Paid
5002848,-28,0,28,Paid
5002849,-37,0,37,No Loan
5002850,-54,0,54,No Loan
5002851,-25,0,25,No Loan
5002852,-12,0,12,Paid
5002853,-18,0,18,Paid
5002854,-33,0,33,No Loan
5002855,-3,0,3,No Loan
5002856,-29,0,29,No Loan
5002857,-32,0,32,Paid
5002860,-11,0,11,No Loan
5002862,-41,0,41,Paid
5002863,-33,0,33,Paid
5002864,-56,0,56,No Loan
5002865,-38,0,38,No Loan
5002866,-25,0,25,Paid
5002867,-30,0,30,Paid
5002869,-13,0,13,No Loan
5002870,-34,0,34,No Loan
5002871,-21,0,21,Paid
5002872,0,0,0,Paid
5002873,-5,0,5,No Loan
5002874,-37,0,37,No Loan
5002878,-37,0,37,Paid
5002879,-25,0,25,Closed
